City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Pitimbu,BR,88.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
531,Bom Jardim,BR,89.94,scattered clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
543,Bosaso,SO,77.9,few clouds,11.2842,49.1816,Red Sea Hotel
544,Kupang,ID,80.31,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
547,Rio Novo,BR,86.85,broken clouds,-21.4575,-43.1253,Pousada Nossa Terra
551,Koumac,NC,80.71,overcast clouds,-20.5667,164.2833,Le Monitel
554,Vung Tau,VN,77.77,broken clouds,10.346,107.0843,Green hotel
561,Ariquemes,BR,82.58,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
564,Omboue,GA,78.26,moderate rain,-1.5746,9.2618,Hotel Olako
565,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
566,Punto Fijo,VE,83.7,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
567,Santa Maria,BR,85.3,clear sky,-29.6842,-53.8069,Hotel Morotin
578,Cap Malheureux,MU,79.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
586,Carutapera,BR,86.72,overcast clouds,-1.195,-46.02,Lidera
590,Yaan,NG,89.17,broken clouds,7.3833,8.5667,
591,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
593,Codajas,BR,84.97,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
594,Itamaraca,BR,88.48,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
596,Durazno,UY,87.58,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
599,Dakoro,NE,81.07,scattered clouds,14.5106,6.765,Shagon mai liverpool
600,Mtwara,TZ,79.9,broken clouds,-10.2667,40.1833,TIL Hotels Mtwara
602,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
604,Kyaikkami,MM,77.34,clear sky,16.08,97.5675,St. joseph catholic church
605,Moyobamba,PE,78.91,overcast clouds,-6.05,-76.9667,Hospedaje Mariluna
607,Sena Madureira,BR,80.8,overcast clouds,-9.0656,-68.6569,Hotel Central
609,Ca Mau,VN,75.36,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
612,Alenquer,BR,86.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
613,West Bay,KY,85.05,scattered clouds,19.3667,-81.4167,Calypso Cove
615,Koboko,UG,76.55,broken clouds,3.4136,30.9599,Hotel Diplomat
617,Mvangue,CM,77.36,overcast clouds,2.9667,11.5167,
619,Cabadiangan,PH,77.38,overcast clouds,9.7531,122.4739,Kipot
623,Nacala,MZ,80.98,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
625,Ambanja,MG,77.49,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
626,Clearwater,US,82.26,clear sky,27.9659,-82.8001,Shephard's Beach Resort
627,Pochutla,MX,87.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
631,Matadi,CD,81.52,moderate rain,-5.8167,13.45,Hotel Vivi Palace
633,Charters Towers,AU,76.91,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
636,Aswan,EG,77.58,overcast clouds,24.0934,32.907,Nuba Nile
645,Lae,PG,76.75,overcast clouds,-6.7221,146.9847,Phils Hotel
648,Sorong,ID,82.02,broken clouds,-0.8833,131.25,Waigo Splash Hotel
654,Kieta,PG,80.13,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
659,Kloulklubed,PW,79.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
669,Penugonda,IN,79.18,clear sky,16.6667,81.7333,Prudhvi house
679,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
680,Prainha,BR,89.15,overcast clouds,-1.8,-53.48,Casa Rocha
