City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Bethel,US,2021-12-10 02:33:28,41.3712,-73.414,34.81,72,75,3.44
119,Suntar,RU,2021-12-10 02:37:13,62.1444,117.6319,-1.14,94,100,6.38
120,Auki,SB,2021-12-10 02:37:13,-8.7676,160.7034,82.8,84,82,7.27
121,Byron Bay,AU,2021-12-10 02:35:30,-28.65,153.6167,87.91,61,93,1.99
122,Labuhan,ID,2021-12-10 02:37:14,-6.8844,112.2051,86.0,65,86,5.3
123,Terrace,CA,2021-12-10 02:37:15,54.5163,-128.6035,36.43,93,75,6.91
124,Mahebourg,MU,2021-12-10 02:37:17,-20.4081,57.7,75.25,94,40,5.75
125,Iracoubo,GF,2021-12-10 02:37:17,5.4802,-53.2011,77.41,91,93,7.72
126,Ulaangom,MN,2021-12-10 02:37:19,49.9811,92.0667,2.21,64,27,5.59
127,Portland,US,2021-12-10 02:32:58,45.5234,-122.6762,42.78,93,40,1.01
128,Andilamena,MG,2021-12-10 02:37:22,-17.0167,48.5833,62.62,85,100,2.8
129,Mirador,BR,2021-12-10 02:37:23,-6.3708,-44.3631,73.67,95,97,1.32
130,Cherskiy,RU,2021-12-10 02:33:11,68.75,161.3,-43.89,100,97,5.55
131,Kavieng,PG,2021-12-10 02:37:23,-2.5744,150.7967,83.91,79,89,15.17
132,Lagoa,PT,2021-12-10 02:37:25,39.05,-27.9833,62.58,61,100,9.22
133,Narsaq,GL,2021-12-10 02:37:26,60.9167,-46.05,26.82,80,78,7.87
134,Westport,US,2021-12-10 02:33:26,41.1415,-73.3579,37.2,74,90,1.01
135,Sao Joao Da Barra,BR,2021-12-10 02:38:27,-21.6403,-41.0511,69.67,86,92,6.89
136,Thompson,CA,2021-12-10 02:38:29,55.7435,-97.8558,1.56,78,90,10.36
137,Yellowknife,CA,2021-12-10 02:38:30,62.456,-114.3525,-2.58,87,90,10.36
138,Jawhar,SO,2021-12-10 02:38:32,2.7809,45.5005,69.78,82,12,8.68
139,Rome,US,2021-12-10 02:38:06,34.257,-85.1647,53.62,78,90,1.99
140,Limerick,IE,2021-12-10 02:37:46,52.6647,-8.6231,40.95,75,91,15.88
141,Nanortalik,GL,2021-12-10 02:38:33,60.1432,-45.2371,23.34,84,92,6.4
142,Georgetown,MY,2021-12-10 02:37:26,5.4112,100.3354,85.93,70,20,1.01
143,Poronaysk,RU,2021-12-10 02:38:37,49.2167,143.1167,30.6,88,91,2.15
144,Sungaipenuh,ID,2021-12-10 02:38:38,-2.0833,101.3833,66.18,98,100,0.98
145,Mitu,CO,2021-12-10 02:38:43,1.1983,-70.1733,73.81,90,99,1.5
146,San Felipe,VE,2021-12-10 02:38:47,10.3399,-68.7425,72.63,94,92,4.92
147,Ponta Do Sol,PT,2021-12-10 02:38:52,32.6667,-17.1,64.0,79,21,8.16
